SrIH g
jatru gl
madaH ll
suKam lg
strI gg
nArI m
mfgI r
sulalitA nmjsng vA
kAntam nynysg vA
aSvagatiH BBBBBg vA
SaramAlA BBBBsg vA
BAminI BrnBBg vA
DIralalitA Brnrng vA
varayuvatiH Brynng vA
cakitA Bsmtng vA
komalalatA mtsttg vA
suratalalitA mnstrg vA
madanalalitA mBnmng vA
kAmukI mmmmmg vA
jayAnandaH ymnsrg vA
citraSoBA rjrjrl
lalanA rnnnng vA
udgatA sjssjg vA
pramadA stysBg vA
sKalitavikramA sBmsBg vA
vellitA ssnnmg vA
somaqakam sssssg vA
SiKariRI ymnsBlg vA
pfTvI jsjsylg vA
vaMSapatrapatitam BrnBnlg vA
hariRI nsmrslg vA
mandAkrAntA mBnttgg vA
atiSAyinI ssjBjgg vA
narkuwakam njBjjlg vA
ruciramuKI njjynlg vA
avitaTam njBjjlg vA
vilAsinI njBjBlg vA
vasuDArA nnnnngg vA
DanamayUram nnBsrlg vA
hariH nnmrslg vA
mAlADaraH nsjsylg vA
padmam nsmttgg vA
rohiRI nsmmylg vA
hAriRI mBnmylg vA
BArAkrAntA mBnrslg vA
kalAtantram ytnsBlg vA
kAntA yBnrslg vA
kusumitalatAvellitA mtnyyy vA
candraleKA mBnyyy vA
nandanam njBjrr vA
nArAcam nnrrrr vA
lalitam nnmtBr vA
candramAlA nnmmyy vA
latA nnrBrr vA
paNkajamuktA nnssty vA
hariRIpadam nsmtBr vA
anaNgaleKA nsmmyy vA
BaNgiH BBBBny vA
aSvagatiH BBBBBs vA
Bramarapadakam Brnnns vA
hIrakam Bsnjnr vA
kuraNgikA mtnjBr vA
citraleKA mnnttm vA
calam mBnjBr vA
kesaram mBnyrr vA
siMhavisPUrjitam mmBmyy vA
maYjIrA mmBmsm vA
mahAsenam mrBnts vA
kAYcI mrByrr vA
hariRaplutA msjjBr vA
SArdUlalalitam msjsts vA
SArdUlam msjstm vA
vilAsaH mssrrr vA
suDA ymnsts vA
krIqAcakram ymyyyy vA
haranartanam rsjjBr vA
varakfttanam rsjyBr vA
budbudam sjsjtr vA
mandAramAlA stnyyy vA
suraBiH snjnBs vA
SArdUlalalitam msjstsg vA
meGavisPUrjitA ymnsrrg vA
SArdUlavikrIqitam msjsttg vA
sumaDurA mrBnmng vA
surasA mrBnyng vA
varUTinI jnBsnjg vA
ratilIlA jsjsjsg vA
samudratatA jsjstBg vA
racanA njByBjg vA
candramAlA nnnjnnl
kanakalatA nnnntng vA
DavalA nnnnnng vA
paYcacAmaraH nnrjrjg vA
saralam nBrsjjg vA
candrabimbam mtnsttg vA
puShpadAma mtnsrrg vA
